;;;;;;;
FECHA;Carapungo;CENTRO;COTOCOLLAO;SANGOLQUI;TUMBACO;;
12/1/2025;0;0,793;0,054;0,067;0,669;;
12/1/2025;0;0,838;0,085;0,086;0,693;;
12/1/2025;0;0,864;0,231;0,103;0,753;;
12/1/2025;0;0,857;0,295;0,105;0,69;;
12/1/2025;0;0,845;0,266;0,098;0,616;;
12/1/2025;0;0,77;0,212;0,085;0,592;;
12/1/2025;0;0,726;0,049;0,064;0,596;;
13/1/2025;0;0,679;0,115;0,035;0,592;;
13/1/2025;0;0,7;0;0,008;0;;
13/1/2025;0;0,651;0,067;-0,028;0,627;;
13/1/2025;0;0,654;0,138;-0,017;0,649;;
13/1/2025;0;0,732;0,205;-0,024;0,578;;
13/1/2025;0;0,786;0,516;0,041;0,591;;
13/1/2025;0;1,321;2,537;0,332;1,121;;
13/1/2025;0;2,311;1,614;0,593;1,643;;
13/1/2025;0;1,627;1,272;0,478;1,374;;
13/1/2025;0;1,433;0,773;0,38;1,035;;
13/1/2025;0;0,976;0,227;0,279;1,062;;
13/1/2025;0;0,927;0,131;0,171;0,836;;
13/1/2025;0;0,852;0,072;0,104;0,669;;
13/1/2025;0;0,801;0,055;0,07;0,687;;
13/1/2025;0;0,738;0,046;0,096;0,696;;
13/1/2025;0;0,778;0,127;0,044;0,667;;
13/1/2025;0;0,838;0,094;0,053;0,693;;
13/1/2025;0;0,912;0,129;0,052;0,756;;
13/1/2025;0;0,999;0,218;0,097;0,724;;
13/1/2025;0;1,077;0,204;0,08;0,788;;
13/1/2025;0;0,907;0,281;0,114;0,714;;
13/1/2025;0;0,807;0,301;0,095;0,668;;
13/1/2025;0;0,755;0,103;0,059;0,564;;
13/1/2025;0;0,692;0,069;0;0,583;;
14/1/2025;0;0,658;0,019;-0,022;0,573;;
14/1/2025;0;0,645;0,01;0;0,591;;
14/1/2025;0;0,612;-0,007;0,004;0,562;;
14/1/2025;0;0,6;-0,033;0,012;0,597;;
14/1/2025;0;0,621;0,04;0,005;0,689;;
14/1/2025;0;0,694;0,214;0,028;0,85;;
14/1/2025;0;0,875;0,92;0,272;1,171;;
14/1/2025;0;1,165;1,1;0,421;1,805;;
14/1/2025;0;1,082;0,716;0,546;0,943;;
14/1/2025;0;1,212;0,248;0,299;0,83;;
14/1/2025;0;0;0,078;0,08;0,705;;
14/1/2025;0;0;0,073;0,052;0;;
14/1/2025;0;0;0,053;0,039;0;;
14/1/2025;0;0,209;0,059;0,058;0,125;;
14/1/2025;0;0,219;0,051;0,037;0,134;;
14/1/2025;0;0,201;0,043;0,031;0,074;;
14/1/2025;0;0,227;0,057;-0,006;0,086;;
14/1/2025;0;0,221;0,065;0,012;0,161;;
14/1/2025;0;0,345;0,151;0,055;0,217;;
14/1/2025;0;0,423;0,235;0,022;0,346;;
